code,character,scripter,rank,artist,name,story
10,周浅,AAAray烤布蕾糖师傅,SSR,朽夜,信仰主唱,"我是不可归类的唯一，无法估量的载体，当我伫立于舞台中央，你便知道我生来就应该成为信仰。
我是乐队的温度，我用自己的喉咙揭开音乐的血肉与灵魂，我会颤抖，会喘息，会嘶吼，会吟唱，我的呐喊声点燃关于追求自我的革命，我便是我，我是自己的主宰，我是我自己的音乐人格，我一个人便是一个乐队。
无数个不同的我站在我的身后，他们不是抽象的声响，而是这篇盛大史诗的碎片。我从来不是孤独的天才，名为自由、个性、叛逆、执着、追寻、热烈、浪漫的乐器声翻涌而起，金色大厅的中央，我张开双臂，迎接来自全宇宙虔诚信徒的崇拜。
当我彻底爱上自己，我便知道艺术就此诞生。"
11,周浅,AAAray烤布蕾糖师傅,R,茶霏_君泠,休止和弦,"“我搭配吉他那简直是土豆蘸辣椒粉，全世界最好吃的东西就有了。”某天周浅在公司的茶水间跟老板这么说，老板的额头滴下两颗豆大的汗珠，却没有任何反驳。
是啊，作为天生的舞台主角，玩起这种核心乐器来，那岂不是是主角中的主角。
吉他是反叛的图腾，是自由的载体，它的存在即是打破刻板、释放自我的摇滚精神，它是情绪武器，是戏剧化悬念与爆发的揭幕者，是乐队的气质，也是周浅的气质。在墨守成规的世界中，他是最特别的颜色。
真正能填满这个世界的是声音，因为声音远比语言更为自由。"
14,周浅,AAAray烤布蕾糖师傅,SR,_柴鱼花深粥_,协鸣,"“你听见了吗，”周浅摘下墨镜，他微卷的头发和美式复古的服装预示了今天会有一场所有人都预想不到的演出。“刚才那声‘叮’，才是这首歌的脊骨哦。”
三角铁很小、很轻，也很容易被忽视，但正是因为隐于轰鸣声中的特质，让它的声音像是一声戏谑又风趣的冷笑，给这个潮湿的雨夜带来了一丝剔透的空气感。
周浅眨眨眼睛，皮鞋在积水的石板路上打起节拍，小小的水花溅起。他叼起墨镜，优雅地举起手中的三角铁——那极简主义的象征， 那令人无法忽视的万丈光芒。
“叮——好戏才刚刚开始哦。”"
12,周浅,AAAray烤布蕾糖师傅,SR,海盐芝士挞,律骨,"想打架子鼓这个念头，是周浅在台下看老板的演唱会安可的时候萌生出来的。
它像是乐队的心脏、肌肉和骨架，节奏的统治者，它不演奏旋律，却决定了乐曲的速度、律动和情绪张力。更重要的是它独特的动态力量感能恰好展示这位乐队天才近期手臂锻炼的成果——至少周浅对老板是这么说的。老板依旧无法反驳，因为只穿了一件背心的周浅，露出的肌肉线条确实流畅漂亮。
但周浅心里清楚，他最想要的，是每敲击一下，便会有无数的人，喊出他的名字。
天生的明星无比享受这样的同频时刻，台上台下都是那么明亮，像他的前途一样亮得让人睡不着。"
13,周浅,AAAray烤布蕾糖师傅,R,海盐芝士挞,不可定义,"周浅的老板看着上面写着“号外号外！全C929星球最大的夏日水上音乐节正式开幕！本次音乐节将邀请宇宙级大明星周浅先生参加！”大字的海报，陷入了沉思。这倒是个有创意的活动，如果是周浅的话，无论做什么都会成为主角的吧......老板这么想着，盖下了“confirmed”的官方印章。
是时候反击贝斯笑话大全了！
周浅站在舞台中间拨动琴弦，无数的目光就汇聚于他的身上。他是不可定义、不可或缺的主导者，汗水描摹着他好看的手臂线条，慢慢汇聚流淌下来，又顺着律动飞洒出去，混入水上乐园项目所扬起的水花中。
“享受音乐吧。”他说完，尖叫声排山倒海。"
15,周浅,AAAray烤布蕾糖师傅,R,茶霏_君泠,超越黑白,"他的手指在键盘的琴键中翻越跳动，灵动的音符从棱角分明的黑与白中诞生，看上去是最有秩序的乐器，却因为周浅的掌控而显得优雅又叛逆——这就是真正的艺术，这是真正的自我表达。
当沉醉于音乐之中时，这位艺术家的灵魂会短暂地来到另一个空间，此时黑白琴键已不再是界限，它们随着共鸣无限延伸，超越了人的想象，超越了自我认知，这个世界从此只有音乐和为音乐而生的人存在。
天才和疯子只有一个音符的距离。"
16,周浅,AAAray烤布蕾糖师傅,R,hinatayuki,吟游诗人,"口琴是一个个头小却能量大的东西，周浅把这长条的金属乐器放在唇边轻轻吹起，简洁的旋律瞬间唤起共鸣，给复杂的编曲抹上一层亮色，这在乐队中绝对是一个加分的存在，音色高频清亮且十分悦耳，就像舞台中间的周浅一样，应该说，“他们”每一个人都是这样的存在。
于是抚摸乐器仓库里闲置的口琴时，孤独的乐队天才也常常有自由出逃的想法，做一个穿着皮鞋吹着口琴走在石板路上的吟游诗人——整条街上最帅的那种，传颂的英雄事迹的主角不是别人，正是他自己。
“下面请欣赏，史诗级别大帅哥天才周浅的演奏。”他仰起头，风吹起短短的前额碎发。"
17,周浅,AAAray烤布蕾糖师傅,R,hinatayuki,咏叹调,"真正的乐队天才从不满足于现代乐器。
空无一人的排练室，窗沿积攒的灰尘随着不速之客的到来被掀起又落下，哦天呢，灰调复古的格子衬衫配上严肃的黑框眼镜，他多像个前一秒还在实验室穿着白大褂做萃取的研究生。
观众只有灰尘精灵，但还算清净。和声只有窗外的蝉鸣，但也勉强合格。
周浅轻哼一声，大提琴低沉地唱起优雅又孤独的咏叹调。
“天才注定是孤独的啊。”他这么想着。"
88,周浅,AAAray烤布蕾糖师傅,N,海盐芝士挞,团结友爱,"“你没有哭吗？”
“……”
“你真的没有哭吗？”
“……”
“我知道只有你一个人没有sp这件事很惨啦但是——你真的没有哭吗？”
“……”
“快把墨镜摘了——哎哟，你这不还是偷偷哭了嘛！”

算啦！天才大帅哥总是孤独的嘛～"
89,周浅,AAAray烤布蕾糖师傅,N,甜团子咸粽子,忧郁天赋,"你知道吗，B是一个好字母。
best最好的，brilliant辉煌的，broad广阔的，brave勇敢的，beloved受爱戴的，鲁B青岛的——喂有什么奇怪的东西混进去了啊！
还有没有sp的周浅，broken破碎的。"
18,周可可,大山深处的唢呐,SSR,迷匣匣匣,万事皆可,"可可的日记—第8章
嫑嫑说，今天是可可巧克力店兼工厂的建成纪念日！
大家带来了蛋糕，店里放起了礼花。街坊邻居都聚了过来，他们给我定了蛋糕——是嫑嫑！我穿了件特意准备的新衣服。他们说，可可老板，衣服很可爱。
我说对呀，嫑嫑推荐的！大家看看我，看看嫑嫑。
我说，嫑嫑在跟大家打招呼呢。大家一齐笑了，闹哄哄地：可可老板，给你拍张照片留念吧！
阳光洒进，快门响起。我把照片贴在柜台前，嫑嫑说，就要这个高度，这样它也能看到。
所有事都顺利运转起来了，一切都在向好。
我已经很少梦到那些似乎发生过的可怕画面，也鲜少想起童年，那抓不住一切的时候...
你们都在看的吧？现在的可可，是不是有点厉害？
我呀，大家呀。会一直这样幸福下去的吧！
...会的吧？"
19,周可可,大山深处的唢呐,SR,一锅望仔,还生,"可可的日记—第4章
温暖的手每一次朝我伸出，我就要面临一次掏心那样的失去。
我的妥协和忍让，都换来了什么？
我爱的人，爱我的人，全都离我而去了。那我还剩下什么？
命运是如此掠夺我的吗？我不相信，命运只会下雨，只是雨中总有人偷渡的刀。
嫑嫑说，伤害你的人，都该死。对，伤害你们的人，全都该死，该身败名裂，该连他们肮脏的意识一起，永远留在不见天日的地方。
从今天开始，我什么也不要了。我的人生、我的故事，都将变成一本完美的复仇日记。
我选这间海景房，我要看你们一个个跳下去，我会把欠我的一步步讨要回来。"
20,周可可,大山深处的唢呐,SR,蛋崽可可糖_退退退版,竣工大吉,"可可的日记—第7章
可可的巧克力工厂竣工！
好感慨....原本用于维持生计的课间副业，从一条横幅就拉起来的小摊，到这省那省、挤着存款租下来的街边小铺。亲自出镜的宣传、手忙脚乱的营业...店铺慢慢往城市中心搬迁，一点点扩大，装潢也铺上了嫑嫑和我喜欢的风格。
上学时学习生意两头顾，毕业后终于全身心投入。
热热闹闹到现在！轰轰烈烈地、建立大工厂了！
忙着巧克力的事时，会感到无比安心，像在避风港里，能透过窗看到未来的模样——这是我能把握住的生活。
看来我真的是有些天赋呀......可可，嫑嫑，会成功的！"
21,周可可,大山深处的唢呐,R,一锅望仔,祝福,"可可的日记—第1章
大抵是很小时的事情，画面模糊，偶尔出现在梦里。
温暖的床铺，亲切的怀抱。一切还没有发生，只有家人的轻唤围绕在耳畔。
我不爱哭，妈妈会着急，生怕我不知道怎么表达自己的需求。
这不在我的童年记忆里，只是翻到了妈妈留下来的日记。当时的我哭了一整夜，眼泪渗进枕头里，暖乎乎的，像妈妈在摸我的脸。
这是我打算写日记的开始，或许，日记能给这个世界留下些什么。
毕竟，我也是带着祝福出生的孩子。"
22,周可可,大山深处的唢呐,R,迷匣匣匣,第一画报,"可可的日记—第2章
为了让楼妈妈能够接受更好的治疗，为了大家过上更好的日子，就把巧克力铺子开成店面吧！
定地址，就近找，这样上学方便些。
课程要仔细排一排，不能撞上客流量大的时间，这时要到店里忙...
吃饭和休息，都稍微搁置一会儿吧。
组团队，嫑嫑和可可！至于员工...我们应该忙得过来！
开发新品，无穷无尽，慢慢迭代，尝试一些奇怪的味道吧。
对啦！要拍个宣传照做易拉宝，开业时才够抢眼吧。
嫑嫑，你说什么？自己上？我可以吗...？"
23,周可可,大山深处的唢呐,R,鱼子酱好好次,小闲,"可可的日记—第6章
大家好！又是新的一天。
启动时还觉得时间充沛，没想到就是一眨眼的事——我们的巧克力工厂、马上完工啦！
两头跑了几个月，一边卖巧克力，一边盯着施工，吃饭的时间都要硬挤出来，嫑嫑跟着我忙，好像都瘦了些。
要给锅补什么呢？
收尾阶段，终于可以喘口气了....给我们小小地放个假吧！阳光、微风，有些旧的躺椅，来一杯自家定制的新品可可饮料，这就是幸...
嫑嫑，端盘子小心点。"
24,周可可,大山深处的唢呐,R,蛋崽可可糖_退退退版,寄梦,"可可的日记—第5章
我做了一个梦。
梦里的我站在窗外，窗里暖洋洋，是我熟悉的地方。
他们弥补了我残缺的过往，爱重新围绕上来。我的第二次人生，像巧克力礼盒一样，拆开束缚，从坚硬的外壳处开启。
梦中幸福的我像影像一样虚幻，真实的我，像个不知好歹的过客。
被潮湿附着的感觉，天亮时也散不干净。
朋友们又围了上来，安慰说，都过去了...
但是，什么也没发生呀？
是什么过去了呢？"
25,周可可,大山深处的唢呐,R,氵衮去看书,褪色,"可可的日记—第3章
简单收拾了下，准备搬到店里面小住。
嫑嫑说，要给他多拿几件衣服，于是又折返回来，顺便把家里清扫一下。
从柜子深处翻出一张照片。应该是楼妈妈刚把我接回来时，其他小朋友拍下的。
她担心我无法融入，外出采购时，带给我一只小熊。
后来，楼妈妈忘记了它，忘记了这些事。
照片有些褪色，我却又抱住了那只消失的小熊。
我的人生，或许从开始就是黑色。没见过好好亮着的样子，也找不到灯的开关。
只有这些微弱的光，支撑着我往前走。"
26,周可可,大山深处的唢呐,SP,氵衮去看书,别忘记我,"可可的日记—终章
对不起。
对不起，骗了大家。
那么幸福的现在，可可还是会有那么多的不开心。还是会反复梦到....很多未曾经历的事情。
梦的主人公都是我。我好像对所有人都充满了恨，看着他们的眼睛，会幻想着他们一点点破碎开的样子，像秋天的叶子，被雨打到地上，腐烂的样子。
好像这样才能让我感到一些...快乐？类似快乐的正面情绪。
那些本应该被驱散的潮湿，魔鬼一样寄生在意识里。好像所有不好的事情，都是我做的。
是我做的吗？
醒来又是好天气。
我问嫑嫑，这是真的吗？嫑嫑第一次没回答我，就像别人眼里的那样，像个玩偶。
我生来为了什么？那些仇恨的，美好的，失败的，成功的，都揉碎成一块苦涩的巧克力，却终究有人爱吃。巧克力和生活，梦境和现实，都会顺着时间融化，再凝固。
对呀，都是我做的哟。
总之，请不要忘记可可。"
27,周星星,大山深处的唢呐,SSR,积极向上桔叨叨,爱的盛世,"所有星系在此聚集，把宇宙变成一幅互相契合的拼图。
光年前破碎的大气层，在今日，也填满了象征希望的蓝。
重建的烂尾建筑，随着文化科技的并拢，焕然一新。
不断新生的宇宙，把象征破坏的撞击，变成独一无二的相遇。
放飞永生的机械和平鸽，前往无法被污染的净土。
这是我的期盼，也是全人类、全宇宙的期盼。
生命对爱的向往，就是如此周而复始。
就让期盼在这一刻实现吧！
一切不同，一切差异，都且不论。这里将是人类、是生命的全新开始——
大家好！我是巴别塔塔主，周星星！
“要是有人站在地面极目向上望，还能瞥见一个轻快的残影绕着塔身翩翩飞舞。快乐的歌声从天空飘然落下...”
再次欢迎您来到这片象征爱与快乐的土地！
“——WALALILONGLA！”"
28,周星星,大山深处的唢呐,SR,纳米大瓢,揭幕时刻,"“敬畏和惊愕中，一团闪烁的星芒尖叫着，顺着螺旋阶梯轻盈滑下：‘欢迎来到「巴别塔」揭幕现场！’”
把小机器人的天线，变成共振的魔法棒。 把被泡泡染成彩色的云朵，铺成柔软的红毯。
流星雨洋洋洒洒地经过，星球的碎片落到这片时空，变成盛大礼花。
两百岁的小熊跨着时代服务器赶来，载着飘荡的灵魂，跟随众人欢呼雀跃。
这何尝不是奇迹即将发生的证明！
亿万语言，一切文化，宇宙深处的、千奇百怪的意识，都顺着这只魔法棒的挥动，在此刻解码——
跨世纪的阶梯就在眼前，无隔阂的时代就此来临！"
29,周星星,大山深处的唢呐,SR,甜团子咸粽子,可爱意外,"“文化记忆、历史故事、身份认同、情感共鸣...不再有误解，也不再有隔阂！来，奔向你的TA！...”
狂欢般的开幕式，进行到九天零二十九分钟，搭建好公用频次的大家彼此分享着从家乡带来的礼物。
塔主依旧是最热情的那位。他换了几套衣服，在泡泡塔间不知疲倦地奔跑，神采奕奕地招呼新到来的朋友。
“哎呀！”
大家朝声音看去，只见塔主的跑鞋长出了翅膀，正往泡泡云那出走！似乎是不堪社交重负，就这样自己逃掉了。
千年后，大家聚在一起，谈及那场盛大的开幕，也会想起那个快乐的小小意外——星际记者抓拍下来的场面，成为了公认的宇宙名画。"
30,周星星,大山深处的唢呐,R,AMennnn___,甜点信号,"“来！快跟我一起去看看吧！”
巴别塔即将揭幕，拜访的消息从宇宙四面八方传来，塔主也跟着忙碌起来，他要开始准备招待新朋友的小点心，和能往来寄送的伴手礼。
换了一身糖果色涂鸦便装，方便干活！也方便把伪装成小行星的硬糖和面包吸引过来捕捉，这样零食礼包就不愁啦。
还需要一些蛋糕——这个很难从宇宙当中收集到呀。那就发散些名为“甜点”的通感信号吧！有蛋糕的口感，就有快乐的感觉！"
31,周星星,大山深处的唢呐,R,绿鲤鱼与驴说周深二专真好听,宇宙要闻,"“重磅新闻！人类史上最著名的烂尾建筑，终于在今日完工啦！”
他注视着米字星折射的颜色，用虚空键盘编辑数字讯号。
嗯，不错，嗯！第二十八版全体通讯敲定，就这样发出去吧！
...等等，这个地方再修改得有趣一点，那个地方再正式一点点...好！第二十九版！发出！
米字星的光耀眼起来，宇宙被点亮。
这新奇的讯息与日出一起，折射到世界的各个角落。这是历史性的召唤！"
32,周星星,大山深处的唢呐,R,绿鲤鱼与驴说周深二专真好听,稀有频率,"“只要你念一句WALA LI LONGLA！就能听懂任何一个TA的话！”
不止过去、未来与天空，深海幸存者也收到了传讯。
海底族群聚在一起，观察着自水面洒下的波纹。稀薄阳光都随之荡漾，信号里有遥远的信仰。好像波光粼粼的故乡。
塔主说，只要你们愿意，就能通过海浪，倾诉你们的困境——我能将深邃的海底变得一片斑斓！
不断往新海域迁徙的它们，第一次朝星空讲述自己的故事。"
33,周星星,大山深处的唢呐,R,AMennnn___,神话共鸣,"“这是为整个宇宙所有物种提供沟通服务的超级解码器！”
宣传语是那么说的。那这解码器，作用到底有多大呢？
据塔主身边的精灵说，巴别塔的科技，已先进到足以将话语信号、传播到亿万光年外的古国，并提供实时对话翻译，与神话中的生命取得了联系。
那神仙对巴别塔超有兴趣！打算把特产打包往我们的宇宙中送。塔主正准备建立速递通道呢！
还有传闻，塔主似乎就是在那片星云中诞生的。"
34,周星星,大山深处的唢呐,R,AMennnn___,畅销星品,"“只要你们愿意，就可以自由共享彼此的一切！”
自与古国成功建起速递通道后，礼物源源不断地发送过来。
每次签收都像拆盲盒，先是一串被气流和磁场打乱的数字讯息，噼里啪啦组合，一件小礼品就像实体打印那样呈现在眼前了！
运输试行阶段时，塔主每天都戴着来自古国的纪念品——那仿神仙造型的柔软头套。
各大宇宙星系得知此事，都与古国连接了交换频道，兔子头套已成为最受欢迎的宇宙单品！"
80,周星星,大山深处的唢呐,SP,Gululu苔古,灵魂涤旅,"欢迎收看宇宙之心-全新时代栏目，精彩稍后继续。
为您播放一则广告：
你还在担心文化差异吗？还在担心说出的信号，会失误传达吗？
你还在忧愁无法与全生命无界沟通吗？
还在为想倾诉的时候、链接不到彼此的真心而烦恼吗？
你还沉浸在无休止的隔阂之中吗？还被光年距离阻碍而无法前进吗？
你还为肉身无法跟随文明进步，感到沮丧吗？
你，想要至高无上的爱吗？
不要犹豫，加入巴别塔！我们拥有关于沟通与共鸣的最新科技，拥有培育爱等正向情感的纯净环境，和令所有人终生向往的情感寄托。
在这里，你将接收到与自我最为匹配的频率，你将获得感性知觉的升华。
就是此刻，一起洗净灵魂中的排异反应——我们将成为彼此相爱、彼此拥有的共同体。
云端中的巴别塔，等待迷茫的你到来。"
35,周果子,查米吗琳,SP,王久哔哔叭叭,WHO,"喘不过气、要无法呼吸了……
无数的视线几乎要将你压垮。
“商人，我向你乞求，我有一个秘密，请帮我把它藏起。不，干脆就让它沉入永恒的深渊吧！”
那明明是深埋骨髓、不可示人的！
“可你已经暴露了。”
“你对关注的渴求，在瞳孔之中熊熊燃烧，难道你不知道，爱就植根在这无尽的注视之中？”
可你厌烦了那些注视，他们在看谁？商人在看谁？瞳孔的倒影中，那个人分明就不是真正的你。
你应该神秘、脆弱、无人能懂，你渴望自由、肆意、不可一世，你选择谎言、伪装、失语、买醉、颠倒黑白……
你怎么能被看穿呢？你用尽了虚伪来粉饰自己的投影，你为了虚假的生机堆叠了无数的死意，现在，你却期待买到不见天日的保证——
成交！
在商人凄厉的笑声中，世界被迫睁大了眼睛，观看这一场盛大的活埋。葬礼上，所有目光都还“爱”着你。
不过很快，他们就要看清你了。"
36,周果子,查米吗琳,SSR,一颗秃头大米,回响,"记忆商店的熔炉中，时间的齿轮只懂得向前，所以商店陈列的一切，都来自很古老的年代。
流逝、流逝……每有一段旅程走向尽头，就有一个货架被塞满。
可你不想买别人的东西。
你想见到素昧平生的母亲，她会在谁的记忆之中？
你想要曾经被人夺走的欢愉，是谁在替我幸福着？
于是你叩响了商人的门，木门上雕刻着：潮汐可退，往事易追。
他站在海岸上，手握一块倒转的怀表——记忆研究院曾丢失了一模一样的。
“我能够将你送回老地方，但逆行者要支付对抗规则的代价。”
他身后是一片黑色的海，海浪自岸边向更深处涌去。他说倒流的海洋能够保护你的灵魂。
你缓缓沉入水中，听到如鬼魅的歌声，是商人。
“成为自己的橡皮和纸，去重写一切吧。”
“请不要失败，否则你我很快会再见面。”
——12.18，从手状生物中提取的记忆"
37,周果子,查米吗琳,SR,MaGuss_,幻象,"仿佛感应到你的迫切，神秘商人凭空出现了。
他坐在宝箱里啃着苹果，魔杖轻点，手中赫然多了一份清单。
“咳咳，我看看，你想要：显赫的家世，社会的认可，稳固的财富……这么多吗？高雅的喜好……你不能自己努力培养一下吗？怎么还有一匹温驯好马？……”
商人读完清单，回以狡黠的笑容。
“你确定要买这些吗？这些东西可不属于你。”
“胡、胡说！你变给我，不就属于我了！”
一阵破空的光芒后，你明白交易已经完成。
可每当深夜入梦，你坠落空中楼阁，耳边总是会响起隐隐的歌声：
幻象酿的糖，
缀满中空的衣裳，
饿醒现实的胃囊。"
38,周果子,查米吗琳,SR,王久哔哔叭叭,喉舌,"你从日复一日的研究中逃离，跟随指引来到记忆商店。
你渴求灵感与答案，在小店里遍寻陈旧的记忆，终于发现所有人的一生都将蹉跎于未知。你心如死灰，对伴随生命一起到来的无知感到痛恨。
你不再痴迷于学习，终于找到了那位“禁忌”的卖家，你凝视着他血色的瞳孔，祈祷自己被注入集古今之大成的智慧。
商人沉默地张开了嘴，衔出一粒青色晶石。
“这是你的天真。”
他将它嚼碎吞下的瞬间，你感到喉咙一紧。无尽的奥秘向你涌来，你惊喜万分，却只得回之以永久的沉默。
“还有，你的声音。”
“现在，知者不言。”"
39,周果子,查米吗琳,R,一颗秃头大米,灯枯,"太多错误的抉择，在你短暂的记忆中如同疤痕一般陈列。
神秘的商人提着灯，将你重新领回那些“破败不堪”的过去。
你分别穿过每一条岔路口，在构想过无数次的道路上狂奔。
可很快又陷入了熟悉的困境。你只得凭借明灭的灯光，仍旧回到商人的面前。
在他手中灯油即将燃尽的那一刻，你终于意识到：也许“后悔”才是那个最不堪的决定，可惜身后似乎已没有了回头路。
“要继续吗？”商人摇晃着那盏忽明忽暗的灯。“结局也许只有深渊哦。”"
